kreis;Y_2022;Y_2025;Y_2030;Y_2035;Y_2040;Y_2045
7133000;36811;37009;37341;37672;38003;38335
7134000;44067;44105;44169;44232;44296;44360
7135000;36331;36382;36469;36555;36641;36728
7137000;28184;28243;28342;28441;28540;28639
7138000;30342;30398;30493;30588;30683;30778
7140000;43678;43652;43609;43566;43523;43480
7141000;38882;38958;39084;39211;39338;39465
7143000;42801;42859;42955;43052;43149;43246
7211000;5452;5440;5422;5403;5384;5365
7231000;62009;61997;61977;61957;61937;61917
7232000;61741;61765;61807;61848;61890;61932
7233000;43450;43464;43489;43514;43539;43563
7235000;55653;55650;55645;55640;55636;55631
7311000;105;105;105;105;105;105
7312000;8890;8870;8836;8803;8770;8736
7313000;2751;2745;2737;2728;2720;2711
7314000;463;490;535;580;625;670
7315000;532;581;665;748;831;915
7316000;5225;5227;5231;5235;5239;5243
7317000;2806;2822;2849;2876;2903;2929
7318000;1147;1182;1241;1300;1359;1419
7319000;458;479;515;551;586;622
7320000;1805;1834;1882;1930;1979;2027
7331000;3416;3488;3608;3728;3848;3968
7332000;31863;31833;31784;31735;31685;31636
7333000;22058;22115;22210;22305;22400;22495
7334000;19533;19560;19606;19652;19698;19744
7335000;33286;33294;33308;33322;33336;33350
7336000;21428;21451;21489;21528;21566;21605
7337000;30159;30148;30130;30112;30094;30076
7338000;5639;5703;5811;5918;6026;6133
7339000;10376;10477;10645;10813;10982;11150
7340000;63672;63696;63736;63777;63817;63857
8111000;5403;5403;5404;5405;5406;5406
8115000;23055;23054;23054;23053;23053;23052
8116000;20328;20340;20360;20380;20400;20420
8117000;22520;22528;22541;22555;22568;22581
8118000;14162;14191;14240;14289;14339;14388
8119000;36406;36414;36428;36443;36457;36471
8121000;1626;1646;1681;1716;1751;1786
8125000;30870;30880;30898;30915;30933;30950
8126000;24179;24194;24220;24246;24272;24297
8127000;50170;50185;50212;50238;50265;50291
8128000;41519;41520;41523;41525;41528;41530
8135000;27271;27268;27265;27261;27258;27254
8136000;61375;61387;61408;61428;61449;61469
