kreis;Y_2022;Y_2025;Y_2030;Y_2035;Y_2040;Y_2045
1001000;8;6;6;5;5;5
1002000;5;0;0;0;0;0
1003000;25;22;17;12;8;4
1004000;24;22;21;20;18;17
1051000;381;379;376;372;370;367
1053000;225;212;193;175;157;140
1054000;2510;2508;2505;2502;2500;2497
1055000;605;600;591;581;571;564
1056000;4572;4554;4530;4508;4488;4470
1057000;684;679;670;662;654;647
1058000;882;874;862;849;837;826
1059000;148;145;138;133;129;126
1060000;720;717;713;708;704;701
1061000;851;851;851;852;853;853
1062000;159;145;115;86;58;33
2000000;2699;2666;2606;2541;2471;2404
3101000;12;2;0;0;0;0
3102000;9;4;0;0;0;0
3103000;7;0;0;0;0;0
3151000;285;269;242;216;190;165
3153000;59;57;51;45;40;37
3154000;83;72;54;36;18;1
3155000;165;162;158;154;150;149
3157000;20;17;14;10;6;3
3158000;117;114;108;102;97;92
3159000;266;258;252;249;245;243
3241000;609;520;332;140;0;0
3251000;544;528;501;474;452;434
3252000;58;52;44;34;25;20
3254000;180;169;151;132;115;100
3255000;97;91;79;67;56;47
3256000;726;714;695;675;656;637
3257000;163;140;98;56;16;0
3351000;402;394;376;358;343;331
3352000;2221;2211;2193;2176;2160;2144
3353000;1761;1750;1738;1727;1718;1712
3354000;132;121;102;84;65;47
3355000;217;213;207;201;196;190
3356000;158;99;0;0;0;0
3357000;480;467;446;425;404;383
3358000;956;929;884;841;795;751
3359000;12132;12120;12098;12072;12049;12030
3360000;241;213;159;105;54;7
3361000;297;288;272;257;243;230
3401000;5;3;2;1;1;0
3402000;150;148;144;141;138;135
3403000;24;12;3;0;0;0
3404000;52;44;29;14;1;0
3405000;0;0;0;0;0;0
3451000;4413;4399;4372;4348;4326;4308
3452000;3879;3869;3852;3835;3819;3804
3453000;543;529;505;483;461;441
3454000;376;339;274;208;146;87
3455000;1509;1500;1487;1473;1461;1450
3456000;206;192;175;158;141;126
3457000;889;872;842;810;782;756
3458000;358;346;324;302;282;264
3459000;856;841;811;778;749;725
3460000;303;294;279;264;251;241
3461000;1368;1364;1359;1354;1349;1344
3462000;914;911;908;905;902;900
4011000;12;0;0;0;0;0
4012000;193;173;168;163;159;156
5111000;266;246;213;181;151;122
5112000;49;24;0;0;0;0
5113000;109;87;51;15;0;0
5114000;93;73;50;28;8;0
5116000;71;52;30;9;0;0
5117000;19;16;13;10;8;6
