kreis;Y_2022;Y_2025;Y_2030;Y_2035;Y_2040;Y_2045
1001000;445;425;406;388;371;356
1002000;1527;1482;1427;1372;1321;1273
1003000;3887;3875;3851;3823;3794;3775
1004000;1547;1527;1499;1474;1450;1429
1051000;52738;52345;50912;48764;46426;45308
1053000;56180;55971;55542;55060;54584;54263
1054000;76931;76343;74252;71127;67731;66110
1055000;78774;78579;77904;76908;75833;75300
1056000;17770;17681;17525;17364;17214;17108
1057000;56800;56700;56461;56183;55913;55752
1058000;98142;97867;97129;96206;95272;94765
1059000;105275;104808;103364;101403;99349;98331
1060000;59765;59655;59368;59002;58639;58445
1061000;35216;35052;34470;33634;32746;32339
1062000;36377;36280;36049;35770;35488;35309
2000000;4651;4496;4243;4000;3629;3291
3101000;5770;5739;5713;5687;5665;5640
3102000;10841;10763;10600;10381;10165;10061
3103000;6222;6163;6079;5986;5879;5801
3151000;64558;64249;63629;62900;62185;61738
3153000;22869;22796;22628;22440;22275;22179
3154000;36445;36211;35734;35151;34587;34247
3155000;52152;52046;51816;51534;51270;51140
3157000;33189;33054;32759;32377;32012;31825
3158000;48186;48061;47787;47434;47094;46922
3159000;61753;61514;61066;60541;60041;59785
3241000;96522;95807;94253;92403;90635;89551
3251000;110449;109690;108032;105883;103819;102800
3252000;37171;36976;36573;36046;35548;35303
3254000;66768;66539;66066;65482;64914;64592
3255000;20711;20618;20425;20195;19971;19839
3256000;71736;71162;69994;68604;67249;66408
3257000;31336;31155;30790;30366;29966;29705
3351000;40844;40628;40136;39497;38885;38587
3352000;51855;51074;49412;47283;45207;44096
3353000;38726;38555;38212;37786;37382;37177
3354000;49281;49096;48703;48201;47711;47445
3355000;50176;49837;49137;48262;47413;46930
3356000;11952;11612;10965;10252;9571;9065
3357000;76774;76266;75256;74065;72902;72132
3358000;50333;49217;47146;44829;42530;40786
3359000;38391;37924;36894;35532;34211;33537
3360000;68604;68137;67190;66047;64926;64208
3361000;33271;33034;32536;31923;31335;31003
3401000;961;942;925;909;895;882
3402000;2343;2229;1974;1623;1277;1113
3403000;587;552;505;458;407;369
3404000;2536;2506;2453;2401;2355;2312
3405000;778;719;591;413;240;161
3451000;16642;16503;16219;15915;15641;15469
3452000;35579;34640;32519;29610;26746;25421
3453000;80612;80075;78944;77516;76115;75366
3454000;153664;152081;148995;145296;141660;139347
3455000;13402;13118;12490;11643;10814;10421
3456000;50129;49685;48936;48105;47315;46766
3457000;15053;14700;13963;13077;12226;11714
3458000;48927;48540;47726;46737;45791;45251
3459000;109395;108861;107681;106181;104757;103999
3460000;47767;47565;47138;46602;46080;45799
3461000;6424;6113;5427;4493;3568;3123
3462000;19648;19297;18517;17465;16434;15944
4011000;982;919;849;780;680;565
4012000;73;53;37;21;0;0
5111000;2527;2436;2303;2177;2049;1928
5112000;2223;2118;1959;1797;1640;1486
5113000;2001;1901;1746;1599;1459;1323
5114000;3289;3224;3147;3069;3001;2940
5116000;5510;5410;5236;5017;4798;4667
5117000;1158;1148;1129;1107;1084;1071
5119000;293;253;199;143;92;44
5120000;461;453;443;432;421;410
5122000;599;492;375;259;149;47
5124000;1020;916;769;624;495;383
5154000;53044;52096;49759;46472;43119;41519
5158000;10217;10066;9808;9502;9195;8977
5162000;27520;27067;26138;24986;23827;23102
5166000;23888;23637;23035;22221;21403;20985
5170000;36081;35561;34398;32918;31432;30571
5314000;1062;1012;913;816;723;641
5315000;5778;5652;5467;5294;5108;4926
5316000;750;720;677;635;595;556
5334000;9791;9152;7863;6095;4299;3407
5358000;44397;43550;41588;38826;36008;34640
5362000;33651;33200;32105;30583;29034;28280
5366000;28009;27495;26250;24495;22710;21876
5370000;32600;32131;30929;29207;27453;26647
5374000;2480;2343;2036;1624;1203;983
5378000;2341;2296;2222;2148;2079;2015
5382000;21852;21653;21292;20909;20559;20315
5512000;1815;1772;1702;1626;1553;1496
5513000;796;767;730;693;658;626
5515000;11222;11065;10788;10470;10180;9971
5554000;78722;78037;76800;75319;73979;73303
5558000;68873;68597;68100;67509;66973;66697
5562000;20449;20061;19419;18710;18049;17549
5566000;98078;97168;95543;93660;91926;90863
5570000;83761;83290;82442;81431;80521;80048
5711000;5973;5922;5831;5738;5653;5586
5754000;47031;46798;46378;45931;45515;45208
5758000;22458;22290;22019;21729;21460;21250
5762000;54031;53733;53170;52514;51937;51635
5766000;48379;48055;47470;46792;46200;45886
5770000;61420;60964;60296;59564;58923;58501
5774000;44453;43622;42132;40289;38642;37928
5911000;1872;1780;1580;1381;1198;1034
5913000;5029;4984;4948;4909;4863;4833
5914000;764;730;675;612;554;513
5915000;9488;9442;9367;9285;9208;9150
5916000;340;308;246;182;123;70
5954000;5331;5300;5240;5177;5121;5071
5958000;16210;15937;15452;14871;14361;14145
5962000;9528;9415;9220;8993;8783;8648
5966000;1750;1747;1731;1715;1710;1714
5970000;626;655;705;754;807;861
5974000;67364;66901;66064;65070;64174;63708
5978000;23107;22837;22394;21925;21462;21093
6411000;1257;1241;1222;1205;1188;1172
6412000;3854;3790;3673;3573;3484;3403
6413000;278;270;254;238;224;212
6414000;3965;3933;3890;3848;3808;3772
6431000;12587;12520;12404;12297;12204;12123
6432000;21103;21009;20865;20717;20585;20496
6433000;16110;16058;15984;15908;15824;15745
6434000;7830;7792;7732;7679;7631;7591
6435000;25556;25241;24647;23974;23358;22984
6436000;5751;5713;5654;5595;5532;5472
6437000;6432;6349;6178;5998;5843;5737
6438000;4474;4401;4273;4148;4029;3920
6439000;12617;12534;12381;12210;12058;11971
6440000;44059;43922;43672;43396;43147;42968
6531000;25274;25192;25030;24863;24702;24595
6532000;10394;10163;9720;9214;8729;8413
6533000;23725;23605;23366;23079;22810;22665
6534000;34669;34439;33933;33332;32770;32457
6535000;34005;33629;32826;31782;30781;30297
6611000;760;746;720;697;679;664
6631000;31342;31177;30840;30488;30160;29929
6632000;27116;26978;26669;26310;25981;25809
6633000;44617;44378;43884;43285;42724;42439
6634000;60492;60319;59978;59610;59274;59054
6635000;46680;46399;45812;45110;44445;44070
6636000;28209;28107;27883;27620;27378;27255
7111000;1568;1558;1544;1532;1522;1514
7131000;9548;9478;9358;9231;9122;9048
7132000;5079;5037;4963;4894;4839;4797
7133000;21159;20922;20505;20029;19578;19301
7134000;9906;9757;9484;9159;8857;8696
7135000;16869;16734;16448;16093;15758;15589
7137000;31704;31558;31281;30981;30723;30563
7138000;8064;7928;7712;7496;7327;7196
7140000;28653;28262;27437;26345;25304;24845
