kreis;Y_2022;Y_2025;Y_2030;Y_2035;Y_2040;Y_2045
1001000;1629;1652;1673;1695;1713;1728
1002000;3279;3330;3392;3455;3510;3556
1003000;3851;3869;3904;3939;3971;3999
1004000;2033;2052;2078;2105;2128;2148
1051000;8456;8484;8545;8609;8660;8700
1053000;8282;8389;8536;8679;8799;8903
1054000;11032;11123;11261;11403;11519;11614
1055000;9494;9558;9700;9850;9985;10104
1056000;9132;9245;9409;9566;9703;9820
1057000;6382;6443;6553;6669;6767;6851
1058000;13100;13221;13449;13685;13884;14050
1059000;11510;11639;11866;12078;12246;12385
1060000;10114;10229;10436;10650;10834;10993
1061000;6664;6701;6768;6838;6892;6936
1062000;8083;8150;8276;8403;8513;8609
2000000;23123;23276;23628;23985;24328;24650
3101000;3866;3920;3992;4063;4123;4172
3102000;2390;2417;2454;2489;2519;2545
3103000;2848;2863;2881;2898;2913;2926
3151000;8229;8285;8430;8576;8698;8798
3153000;4702;4788;5002;5220;5399;5549
3154000;3609;3645;3722;3801;3867;3921
3155000;5723;5750;5796;5843;5884;5914
3157000;4929;4984;5100;5221;5319;5398
3158000;4200;4245;4353;4463;4553;4626
3159000;10130;10274;10429;10565;10682;10768
3241000;23517;24006;25160;26283;27276;28127
3251000;11962;12194;12618;13021;13335;13584
3252000;5387;5487;5642;5811;5947;6050
3254000;8713;8791;8948;9122;9266;9377
3255000;3103;3140;3227;3316;3394;3452
3256000;7225;7285;7402;7521;7626;7714
3257000;6770;6890;7126;7367;7578;7755
3351000;8483;8556;8734;8911;9055;9170
3352000;12460;12602;12879;13156;13373;13548
3353000;11661;11800;12018;12239;12425;12583
3354000;4389;4408;4449;4491;4525;4554
3355000;7927;8029;8217;8402;8558;8693
3356000;6166;6278;6508;6724;6888;7016
3357000;11024;11127;11352;11586;11779;11936
3358000;7842;7917;8095;8268;8415;8533
3359000;9277;9398;9662;9945;10177;10366
3360000;5783;5847;6029;6213;6364;6485
3361000;6303;6361;6479;6589;6672;6737
3401000;1930;1953;1972;1989;2003;2014
3402000;1215;1227;1254;1281;1301;1318
3403000;3755;3788;3830;3870;3903;3928
3404000;3047;3105;3215;3328;3423;3499
3405000;1701;1717;1743;1770;1791;1806
3451000;7017;7112;7298;7470;7605;7709
3452000;10934;11008;11173;11332;11454;11545
3453000;10073;10192;10421;10623;10784;10905
3454000;17933;18159;18578;18995;19325;19573
3455000;5175;5206;5259;5312;5351;5381
3456000;6316;6539;6774;6994;7162;7288
3457000;9740;9841;10089;10336;10530;10678
3458000;7487;7578;7767;7943;8081;8184
3459000;14808;14991;15404;15865;16245;16535
3460000;7012;7113;7303;7483;7634;7747
3461000;5238;5279;5350;5422;5478;5524
3462000;3628;3661;3720;3776;3820;3853
4011000;8441;8495;8528;8559;8590;8621
4012000;1861;1906;1946;1985;2017;2043
5111000;6119;6196;6343;6480;6599;6704
5112000;6180;6234;6309;6388;6456;6516
5113000;7734;7794;7921;8041;8143;8232
5114000;3875;4006;4162;4320;4455;4571
5116000;4770;4880;5008;5133;5244;5340
5117000;2947;2963;2988;3013;3035;3054
5119000;3232;3307;3394;3485;3562;3629
5120000;1960;1984;2007;2031;2052;2070
5122000;3086;3277;3443;3610;3758;3886
