kreis;Y_2022;Y_2025;Y_2030;Y_2035;Y_2040;Y_2045
1001000;24;30;46;58;67;71
1002000;0;4;13;20;26;28
1003000;0;7;23;36;46;51
1004000;1;3;9;14;18;19
1051000;430;567;875;1115;1296;1386
1053000;102;166;311;424;509;551
1054000;671;880;1347;1712;1986;2124
1055000;40;96;223;322;396;433
1056000;9;33;89;133;165;182
1057000;38;83;184;264;323;353
1058000;341;486;811;1065;1256;1352
1059000;750;974;1476;1867;2162;2310
1060000;15;64;176;263;328;361
1061000;284;378;589;754;878;940
1062000;7;35;97;146;183;202
2000000;9;12;17;22;24;24
3101000;0;3;10;16;21;25
3102000;5;10;22;32;39;45
3103000;0;3;11;17;23;26
3151000;65;113;212;297;363;411
3153000;94;140;235;316;379;425
3154000;52;80;138;187;225;253
3155000;116;174;294;397;476;535
3157000;26;43;80;111;135;152
3158000;36;60;109;152;185;209
3159000;192;283;468;627;750;840
3241000;39;93;203;297;370;424
3251000;181;273;460;620;745;836
3252000;33;57;108;151;184;209
3254000;76;121;214;293;354;399
3255000;27;48;90;127;155;176
3256000;234;331;529;699;831;928
3257000;65;97;163;219;263;295
3351000;53;97;188;266;326;371
3352000;85;148;278;390;476;539
3353000;43;79;152;215;264;300
3354000;32;64;130;186;230;262
3355000;21;51;114;168;209;240
3356000;76;111;183;244;292;327
3357000;32;79;177;260;325;372
3358000;69;124;238;335;410;465
3359000;10;36;89;135;171;197
3360000;21;54;121;179;224;257
3361000;49;78;138;190;229;259
3401000;0;1;3;5;7;8
3402000;13;19;31;41;49;55
3403000;68;90;137;176;207;230
3404000;4;7;14;20;25;28
3405000;10;15;25;34;40;45
3451000;151;210;332;436;516;576
3452000;122;183;307;414;497;557
3453000;20;52;117;173;217;249
3454000;77;153;309;442;545;621
3455000;50;76;131;177;213;240
3456000;137;197;319;423;504;564
3457000;40;72;137;194;237;269
3458000;156;223;360;478;568;635
3459000;165;254;436;592;713;802
3460000;0;14;45;71;91;106
3461000;58;90;158;215;260;292
3462000;52;80;137;186;224;251
4011000;5;7;11;14;16;16
4012000;0;0;0;1;1;1
5111000;0;5;16;24;31;35
5112000;0;5;17;26;34;38
5113000;3;10;25;37;47;52
5114000;0;3;10;15;19;22
5116000;0;4;12;19;24;27
5117000;0;2;6;10;13;14
5119000;0;1;5;8;11;12
