kreis;Y_2022;Y_2025;Y_2030;Y_2035;Y_2040;Y_2045
8216000;5403;5350;5254;5165;5090;5033
8221000;136;128;114;101;90;81
8222000;454;413;368;327;289;257
8225000;10892;10754;10541;10328;10140;10000
8226000;7425;7264;7044;6846;6672;6531
8231000;347;314;288;266;245;229
8235000;8933;8861;8738;8629;8540;8474
8236000;5511;5429;5285;5152;5043;4960
8237000;11060;10998;10906;10815;10738;10692
8311000;1014;975;918;866;816;774
8315000;26446;26304;26093;25899;25733;25611
8316000;10467;10363;10171;9974;9804;9694
8317000;24525;24344;24046;23754;23511;23355
8325000;13436;13359;13224;13090;12977;12902
8326000;25377;25248;25011;24789;24605;24473
8327000;16467;16378;16234;16110;16008;15934
8335000;13752;13671;13528;13403;13295;13218
8336000;16344;16263;16157;16056;15968;15907
8337000;25832;25758;25628;25507;25402;25321
8415000;21127;21049;20941;20838;20749;20676
8416000;4822;4776;4700;4627;4565;4517
8417000;21219;21074;20850;20640;20456;20313
8421000;698;590;415;244;77;0
8425000;16538;16273;15797;15324;14903;14586
8426000;25604;25419;25101;24812;24561;24362
8435000;10495;10418;10278;10150;10037;9937
8436000;64765;64638;64384;64151;63953;63803
8437000;18032;17914;17704;17493;17318;17191
9161000;1005;962;882;811;743;683
9162000;1341;1242;1067;916;760;609
9163000;972;948;911;873;838;812
9171000;9173;9138;9058;8996;8951;8938
9172000;16873;16828;16737;16648;16572;16513
9173000;32068;32011;31922;31840;31763;31695
9174000;6806;6714;6502;6295;6120;6022
9175000;11755;11686;11530;11380;11246;11146
9176000;8836;8616;8212;7787;7422;7242
9177000;16059;15925;15642;15375;15132;14943
9178000;11663;11535;11270;11046;10840;10679
9179000;6175;6085;5911;5742;5590;5480
9180000;17541;17439;17275;17125;16985;16864
9181000;21383;21262;21013;20783;20580;20439
9182000;28032;27930;27734;27548;27367;27211
9183000;16676;16603;16497;16412;16341;16295
9184000;4903;4848;4730;4632;4536;4459
9185000;10421;10329;10122;9936;9775;9656
9186000;9608;9554;9411;9289;9187;9114
9187000;56747;56596;56288;55986;55712;55503
9188000;9057;9023;8959;8910;8868;8841
9189000;41205;41083;40820;40575;40359;40194
9190000;49026;48957;48811;48687;48583;48515
9261000;672;656;625;595;567;544
9262000;1224;1212;1189;1169;1152;1140
9263000;690;666;625;590;558;535
9271000;14110;13975;13707;13476;13276;13127
9272000;29284;29181;28978;28788;28633;28536
9273000;7755;7627;7381;7172;6999;6900
9274000;10235;10004;9512;9059;8671;8399
9275000;29574;29442;29149;28905;28724;28645
9276000;23612;23469;23208;22963;22747;22585
9277000;21292;21053;20604;20131;19716;19447
9278000;18174;17966;17559;17195;16882;16674
9279000;5052;4890;4601;4345;4119;3941
9361000;588;579;562;550;542;537
9362000;402;371;327;287;247;205
9363000;967;959;943;929;918;912
9371000;15581;15413;15097;14780;14518;14381
9372000;39129;38957;38641;38342;38069;37845
9373000;15000;14735;14250;13765;13358;13162
9374000;21567;21432;21176;20942;20742;20617
9375000;12809;12650;12337;12016;11740;11553
9376000;19323;19242;19047;18847;18707;18692
9377000;16192;16126;16010;15910;15834;15797
9461000;259;246;227;210;196;185
9462000;1120;1113;1099;1086;1074;1065
9463000;532;520;498;476;457;439
9464000;880;872;856;843;834;827
9471000;12305;12073;11659;11231;10871;10670
9472000;22644;22343;21789;21165;20643;20414
9473000;7901;7837;7701;7580;7483;7429
9474000;11318;11265;11153;11054;10972;10916
9475000;14858;14471;13758;12975;12318;12050
9476000;9908;9817;9641;9467;9324;9256
9477000;11492;11370;11135;10901;10716;10650
9478000;6886;6833;6738;6652;6578;6529
9479000;9479;9361;9136;8901;8705;8618
9561000;1575;1559;1521;1482;1452;1428
9562000;993;989;981;973;962;952
9563000;837;814;775;740;704;668
9564000;1080;1038;983;928;867;806
9565000;480;474;460;449;439;429
9571000;42174;42012;41697;41375;41103;40899
9572000;6782;6753;6684;6614;6552;6501
9573000;3453;3420;3343;3269;3201;3151
9574000;12677;12606;12464;12323;12187;12064
9575000;16632;16560;16415;16266;16135;16035
9576000;11949;11886;11772;11658;11549;11451
